               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  82,            0.009745,           0.0044895,          0.00024327,             0.99929,                   1,               0.995,             0.95973,           0.0056011,           0.0024059,          0.00011702,            0.001981,            0.001981,            0.001981
                  83,           0.0097059,           0.0044657,           0.0002276,             0.99931,                   1,               0.995,             0.95887,           0.0056709,           0.0024618,          0.00010376,            0.001882,            0.001882,            0.001882
                  84,           0.0095796,           0.0043563,          0.00019289,             0.99938,                   1,               0.995,             0.96438,           0.0056228,           0.0025026,          0.00010255,            0.001783,            0.001783,            0.001783
                  85,           0.0095905,           0.0045202,          0.00037943,              0.9992,                   1,               0.995,              0.9626,           0.0055515,           0.0024843,          9.7402e-05,            0.001684,            0.001684,            0.001684
                  86,           0.0096104,           0.0045531,          0.00027745,              0.9991,                   1,               0.995,             0.96689,           0.0055951,           0.0025648,          9.4182e-05,            0.001585,            0.001585,            0.001585
                  87,           0.0094861,           0.0044167,          0.00029101,             0.99929,                   1,               0.995,             0.96619,           0.0055086,           0.0024139,          8.7177e-05,            0.001486,            0.001486,            0.001486
                  88,           0.0091403,           0.0043009,          0.00035565,             0.99938,                   1,               0.995,             0.96612,           0.0054329,           0.0024302,          7.8522e-05,            0.001387,            0.001387,            0.001387
                  89,           0.0087746,           0.0042513,          0.00020595,             0.99928,                   1,               0.995,             0.97016,           0.0053318,           0.0023734,          7.3199e-05,            0.001288,            0.001288,            0.001288
                  90,           0.0091462,           0.0045593,          0.00018217,              0.9992,                   1,               0.995,             0.96819,           0.0053123,           0.0022685,          7.0373e-05,            0.001189,            0.001189,            0.001189
                  91,           0.0084963,           0.0042815,           0.0002041,             0.99934,                   1,               0.995,             0.96756,           0.0053469,           0.0023783,          6.4024e-05,             0.00109,             0.00109,             0.00109
                  92,           0.0085351,           0.0044366,          0.00015348,             0.99934,                   1,               0.995,             0.96528,           0.0054357,           0.0024073,          5.6272e-05,            0.000991,            0.000991,            0.000991
                  93,           0.0083066,           0.0042771,          0.00012139,             0.99932,                   1,               0.995,             0.96987,            0.005385,           0.0023664,          5.0551e-05,            0.000892,            0.000892,            0.000892
                  94,           0.0083678,           0.0040517,          0.00022172,             0.99927,                   1,               0.995,             0.97163,           0.0052707,           0.0023609,          4.4848e-05,            0.000793,            0.000793,            0.000793
                  95,           0.0080624,           0.0040573,          0.00014454,             0.99922,                   1,               0.995,             0.96761,           0.0054866,           0.0024308,          4.4282e-05,            0.000694,            0.000694,            0.000694
                  96,           0.0081781,           0.0042144,          0.00019869,             0.99916,                   1,               0.995,             0.96898,           0.0053055,           0.0024325,           4.358e-05,            0.000595,            0.000595,            0.000595
                  97,           0.0082836,           0.0041518,          0.00016975,             0.99914,                   1,               0.995,             0.96979,           0.0052601,           0.0023941,          4.1307e-05,            0.000496,            0.000496,            0.000496
                  98,           0.0079553,           0.0041554,          0.00015415,             0.99926,                   1,               0.995,             0.96854,           0.0052445,           0.0023798,          3.9385e-05,            0.000397,            0.000397,            0.000397
                  99,           0.0079587,           0.0041131,          0.00016394,             0.99931,                   1,               0.995,             0.97105,           0.0052677,           0.0023685,          4.0144e-05,            0.000298,            0.000298,            0.000298
